référence;portfolio;pays;ville;code postal;adresse;Coordonnées GPS;secteur;Usages;Surfaces par usage;surface totale;Nombre de niveau (compris RDC);IGH ?;status ERP;statut locatif;nombre de baux;nombre de places de parking;surface de parking;Control;utilisateur;année de construction;dernière rénovation significative;"DPE 
Cons. énérgétique
Grade (A-G)";"DPE 
Cons. Énérgétique
Valeur ";"DPE 
Emission CO2
Grade (A-G)";"DPE 
Emission CO2
Valeur ";Chauffage;ECS;Chauffage;ECS;Froid;Eclairage;Ventilation;Auxiliaires;Elec. Spécifique;"Type certificat ou label  ""construction""";"Etat certificat ou label  ""TRAVAUX""";"Type certificat ou label ""exploitation""";"Etat certificat ou label  ""EXPLOIT""";thermique;acoustique;visuel;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;vetusté;conformité;descriptif sommaire;accessibilité;ascensseurs (ts les 5ans);SSI (périodicité selon catégorie ERP/IGH);DPE;plomb;amiante (DTA);contrôle électrique (annuel);QAI (optionnel);légionelle;disconecteurs PB;porte automatiques;groupe froid (annuel);Audit Environnemental
Lamarck;P7;France;Paris;75013;35 rue Hélène Brion;0;0;"Administration
Laboratoire lourd
Enseignement";"3908 m²
2675 m²
1860 m²";11500;14;non;oui;0;0;0;3056;0;UPD;2006;0;E;492;C;29;42,1;16,9;0;0;33,7;84,3;30,9;5,6;67,4;NON;NON;NON;NON;Moyen;Bon;Bon;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Moyen;conforme;0;Bon;conforme;toiture terrasse;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Buffon;P7;France;Paris;75013;4 rue Marie-Andrée Lagroua Weill-Halle;0;0;"Administration
Laboratoire lourd
Enseignement";"7161 m²
9091 m²
2895 m²";19148;10;non;oui;0;0;0;0;0;UPD, IJM;2007;0;G;1073;E;80;279,8;0;0;12,4;24,9;87,0;0,0;56,0;161,7;NON;NON;NON;NON;Mauvais;Moyen;Bon;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Bon ;conforme;0;Bon;conforme;toiture terrasse;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lavoisier;P7;France;Paris;75013;15 rue Jean de Baïf ;0;0;"Administration
Laboratoire lourd
Enseignement";"3772 m²
1925 m²
1298 m²";10803;11;non;oui;0;0;0;2306;0;UPD;2007;0;E;448;C;30;69,3;0;0;2,5;29,7;27,2;4,9;9,9;103,9;NON;NON;NON;NON;Moyen;Moyen;Moyen;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Bon;conforme;0;Bon;conforme;toiture terrasse;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Condorcet;P7;France;Paris;75013;10 rue Alice Domon et Léonie Duquet;0;0;"Administration
Laboratoire lourd
Enseignement";"9764 m²
3077 m²
3491 m²";18850;11;non;oui;0;0;0;0;0;UPD;2006;0;D;330;C;22;60,2;0;0;0,3;21,2;3,3;1,6;0,0;76,5;NON;NON;NON;NON;Mauvais;Mauvais;Moyen;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Bon;conforme;0;Moyen;conforme;toiture terrasse;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grands Moulins;P7;France;Paris;75013;5 rue Thomas Mann;0;0;"Administration
Enseignement
Bibliothèque";"15693 m²
5781 m²
5231 m²";27532;9;non;oui;0;0;0;0;0;UPD, CROUS;1921;2006;D;250;C;17;61,8;0;0;2,4;13,3;6,1;0,0;0,0;37,6;NON;NON;NON;NON;Mauvais;Moyen;Moyen;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Bon;conforme;0;Moyen;conforme;couverture ardoises sur charpente béton;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Halle aux Farines;P7;France;Paris;75013;2 rue Marguerite Duras ;0;0;Enseignement;16044 m²;17082;6;non;oui;0;0;0;0;0;UPD, CROUS;1950;2006;D;270,1;D;44,1;70,8;0,0;0;0;28,6;20,4;0,0;15,0;1,4;NON;NON;NON;NON;Mauvais;Mauvais;Mauvais;Neuf;conforme;système poteau/poutre béton. Facades porteuses;Bon;conforme;0;Moyen;conforme;toiture voutée en béton étanché;Bon;conforme;sous-station CPCU;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;radiateurs à ailettes;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;Bon;conforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bat 7;Rennes 1;France;Rennes;0;263 avenue du Général Leclerc;48.116992, -1.634921;Beaulieu;Travaux pratiques;?;3688;2;non;oui;?;?;0;0;Pleine propriété;UR1;1968;NON;E;410;D;58;227,7;0;0;1,98;0;7,9;12,54;0,97;47,23;NON;NON;NON;NON;Mauvais;0;Bon;Neuf ou Bon état;Conforme;béton;Neuf ou Bon état;Conforme;béton avec allege préfa;Mauvais état;Conforme;Toiture terrasse + sheds;Mauvais état;Conforme;sous station alimentée par la sous station du bat 6;0;0;SO;0;Conforme;?;0;Conforme;?;0;Conforme;?;Neuf ou Bon état;Conforme;"Radiateurs acier à
robinets
thermostatiques + Radiateurs à ailettes à
robinets manuels";0;0;SO;Etat moyen;Conforme;Tubes T8;0;0;SO;Etat moyen;Conforme;VMC + sorbonnes;0;0;?;Neuf ou Bon état;Conforme;Ballons électriques;0;0;SO;?;?;?;OUI;?;?;?;?;?;?;?;?;?
Diapason;Rennes 1;France;Rennes;0;263 avenue du Général Leclerc;48.118228, -1.644067;Beaulieu;"Restauration
Sport
Vie sociale & culturelle";?;4951;2;non;oui;?;?;0;0;Pleine propriété;UR1;2005;NON;C;165;C;26;104,29;0;0,29;0;0;12,87;19,81;4,7;3,54;NON;NON;NON;NON;Bon;0;Moyen;Neuf ou Bon état;Conforme;mixte béton acier;Neuf ou Bon état;Conforme;bardage;Neuf ou Bon état;Conforme;toiture terrasse;Neuf ou Bon état;Conforme;Une chaufferie gaz comprenant 2 chaudières;0;0;SO;0;Conforme;?;0;Conforme;?;0;Conforme;?;Neuf ou Bon état;Conforme;Radiateurs acier + radiateurs à ailettes équipés de robinets thermostatiques + CTA + Ventilo-convecteur + Tubes radiants gaz;0;0;SO;Neuf ou Bon état;Conforme;Tubes T8 + lampes fluocompactes + équipements scéniques;0;0;SO;Neuf ou Bon état;Conforme;naturelles+ caisson d'extraction;0;0;?;Neuf ou Bon état;Conforme;echangeur à plaques;Neuf ou Bon état;Conforme;?;?;?;?;OUI;?;?;?;?;?;?;?;?;?
bat 10A;Rennes 1;France;Rennes;0;263 avenue du Général Leclerc;48.115561, -1.639589;Beaulieu;Recherche;?;7725;4;non;non;?;?;0;0;Pleine propriété;UR1;1966;NON;E;519;D;59;211,95;0;0;0;0;0;0;0;143,3;NON;NON;NON;NON;Mauvais;0;Bon;Neuf ou Bon état;Conforme;béton;Mauvais état;Conforme;béton;Mauvais état;Conforme;toiture terrasse;Neuf ou Bon état;Conforme;sous station alimentée par le réseau de beaulieu;Etat moyen;Non-conformité majeure;GF pour maintien en température du circuit d’eau réfrigérée ;0;Conforme;?;0;Conforme;?;0;Conforme;?;Mauvais état;Conforme;radiateurs haute température fonctionnant par convection ( en cours de remplacement par radiateurs à rayonnement et robinet thermostatique;0;0;?;Etat moyen;Conforme;T8 à ballast ferro. + divers lampes et luminaires.;0;0;SO;Etat moyen;Conforme;ventilation simple flux;0;0;?;Mauvais état;Conforme;Ballons électriques;0;0;SO;?;?;?;OUI;?;?;?;?;?;?;?;?;?
bat 11B;Rennes 1;France;Rennes;0;263 avenue du Général Leclerc;48.116887, -1.640652;Beaulieu;Recherche;?;3525;3;non;non;?;?;0;0;Pleine propriété;UR1;1966;NON;G;798;E;76;98,1;0;0;1,51;0;10,86;19,42;2,29;232,3;NON;NON;NON;NON;Moyen;0;Bon;Neuf ou Bon état;Conforme;béton;Neuf ou Bon état;Conforme;béton avec allège préfa;Mauvais état;Conforme;toiture terrasse + sheds;Neuf ou Bon état;Conforme;"Sous-station alimenté par
la sous station du
bâtiment 11 A";Neuf ou Bon état;Conforme;"Climatisation pour
salle blanche et
laboratoires";0;Conforme;?;0;Conforme;?;0;Conforme;?;Mauvais état;Conforme;radiateurs aciers à robinets thermostatiques;0;0;?;Etat moyen;Conforme;T8 à ballast ferro. + divers lampes et luminaires.;0;0;SO;Mauvais état;Conforme;VMC + sorbonnes;0;0;?;Neuf ou Bon état;Conforme;Ballons électriques;0;0;SO;?;?;?;OUI;?;?;?;?;?;?;?;?;?
